Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
REM,30,09:00.0,09:30.0,1074,1075,
Movement,74.796,09:23.7,10:38.5,1074,1077,
REM,30,09:30.0,10:00.0,1075,1076,
LM,4.015,09:40.5,09:44.6,1075,1075,
LM,3.835,09:40.9,09:44.7,1075,1075,
Desat,22.333,09:57.4,10:19.8,1075,1076,
Wake,30,10:00.0,10:30.0,1076,1077,
Wake,30,10:30.0,11:00.0,1077,1078,
REM,30,11:00.0,11:30.0,1078,1079,
REM,30,11:30.0,12:00.0,1079,1080,
A. Obstructive,16.8,11:32.4,11:49.2,1079,1079,
Desat,15.999,11:43.1,11:59.1,1079,1079,
REM,30,12:00.0,12:30.0,1080,1081,
Movement,7.749,12:17.7,12:25.4,1080,1080,
LM,6.625,12:19.2,12:25.8,1080,1080,
LM,6.37,12:19.5,12:25.8,1080,1080,
REM,30,12:30.0,13:00.0,1081,1082,
Desat,22,12:39.4,13:01.4,1081,1082,
REM,30,13:00.0,13:30.0,1082,1083,
REM,30,13:30.0,14:00.0,1083,1084,
REM,30,14:00.0,14:30.0,1084,1085,
REM,30,14:30.0,15:00.0,1085,1086,
REM,30,15:00.0,15:30.0,1086,1087,
Movement,12.399,15:18.7,15:31.1,1086,1087,
REM,30,15:30.0,16:00.0,1087,1088,
Wake,30,16:00.0,16:30.0,1088,1089,
LM,2.78,16:22.9,16:25.7,1088,1088,
LM,3.04,16:23.4,16:26.4,1088,1088,
N1,30,16:30.0,17:00.0,1089,1090,
N1,30,17:00.0,17:30.0,1090,1091,
N1,30,17:30.0,18:00.0,1091,1092,
LM,2.675,17:59.4,18:02.1,1091,1092,
LM,1.53,17:59.8,18:01.3,1091,1092,
Movement,1.8,17:59.8,18:01.6,1091,1092,
N1,30,18:00.0,18:30.0,1092,1093,
Desat,22.333,18:18.4,18:40.8,1092,1093,
N2,30,18:30.0,19:00.0,1093,1094,
N2,30,19:00.0,19:30.0,1094,1095,
N2,30,19:30.0,20:00.0,1095,1096,
N2,30,20:00.0,20:30.0,1096,1097,
N2,30,20:30.0,21:00.0,1097,1098,
Movement,73.095,20:36.8,21:49.9,1097,1099,
N2,30,21:00.0,21:30.0,1098,1099,
LM,2.29,21:17.8,21:20.1,1098,1098,
LM,1.765,21:18.0,21:19.8,1098,1098,
N2,30,21:30.0,22:00.0,1099,1100,
LM,3.63,21:47.9,21:51.5,1099,1099,
LM,1.345,21:49.9,21:51.3,1099,1099,
N2,30,22:00.0,22:30.0,1100,1101,
N2,30,22:30.0,23:00.0,1101,1102,
N2,30,23:00.0,23:30.0,1102,1103,
N2,30,23:30.0,24:00.0,1103,1104,
N2,30,24:00.0,24:30.0,1104,1105,
N2,30,24:30.0,25:00.0,1105,1106,
N2,30,25:00.0,25:30.0,1106,1107,
N2,30,25:30.0,26:00.0,1107,1108,
N2,30,26:00.0,26:30.0,1108,1109,
N2,30,26:30.0,27:00.0,1109,1110,
N2,30,27:00.0,27:30.0,1110,1111,
N2,30,27:30.0,28:00.0,1111,1112,
N2,30,28:00.0,28:30.0,1112,1113,
N2,30,28:30.0,29:00.0,1113,1114,
LM,2.058,28:51.4,28:53.4,1113,1113,
Movement,1.85,28:51.7,28:53.5,1113,1113,
N2,30,29:00.0,29:30.0,1114,1115,
N2,30,29:30.0,30:00.0,1115,1116,
N2,30,30:00.0,30:30.0,1116,1117,
N2,30,30:30.0,31:00.0,1117,1118,
N2,30,31:00.0,31:30.0,1118,1119,
N2,30,31:30.0,32:00.0,1119,1120,
N2,30,32:00.0,32:30.0,1120,1121,
N2,30,32:30.0,33:00.0,1121,1122,
N2,30,33:00.0,33:30.0,1122,1123,
LM,0.91,33:06.2,33:07.1,1122,1122,
Movement,6.649,33:07.7,33:14.4,1122,1122,
N2,30,33:30.0,34:00.0,1123,1124,
Desat,11.666,33:32.8,33:44.4,1123,1123,
REM,30,34:00.0,34:30.0,1124,1125,
A. Obstructive,16.435,34:08.5,34:24.9,1124,1124,
Desat,27.666,34:27.4,34:55.1,1124,1125,
REM,30,34:30.0,35:00.0,1125,1126,
REM,30,35:00.0,35:30.0,1126,1127,
LM,0.93,35:29.1,35:30.1,1126,1127,
LM,0.52,35:29.6,35:30.1,1126,1127,
REM,30,35:30.0,36:00.0,1127,1128,
REM,30,36:00.0,36:30.0,1128,1129,
REM,30,36:30.0,37:00.0,1129,1130,
LM,1.59,36:53.7,36:55.3,1129,1129,
REM,30,37:00.0,37:30.0,1130,1131,
REM,30,37:30.0,38:00.0,1131,1132,
REM,30,38:00.0,38:30.0,1132,1133,
REM,30,38:30.0,39:00.0,1133,1134,
Desat,35,38:51.4,39:26.4,1133,1134,
REM,30,39:00.0,39:30.0,1134,1135,
Movement,35.648,39:20.6,39:56.3,1134,1135,
LM,0.95,39:20.8,39:21.7,1134,1134,
REM,30,39:30.0,40:00.0,1135,1136,
LM,3.27,39:39.0,39:42.3,1135,1135,
